0,52,12,37
1,42,23,35
0,60,8,32
0,66,1,32
0,45,14,41
1,41,29,30
0,57,10,33
0,44,14,41
0,58,6,36
1,37,24,39
0,63,7,30
1,31,39,30
0,63,2,35
0,46,14,40
0,48,12,41
1,50,38,12
0,43,16,41
0,51,11,38
0,53,9,38
0,55,10,34
1,31,38,30
1,37,39,23
0,45,10,44
1,31,38,31
1,52,25,23
0,46,12,42
1,29,43,28
0,59,8,33
0,51,10,39
0,42,13,44
1,29,44,27
1,48,23,29
1,43,29,28
0,61,9,30
0,59,8,33
0,53,9,38
1,20,47,32
1,43,35,21
1,27,29,44
1,41,32,28
1,43,20,38
0,55,8,37
1,43,29,28
0,27,19,54
0,30,18,52
0,62,7,31
1,48,36,16
0,27,18,55
0,48,9,44
0,53,13,34
1,43,46,11
0,48,14,38
1,30,36,34
0,53,9,38
0,41,16,42
1,33,60,7
1,38,40,22
1,45,27,28
1,45,31,24
0,42,14,44
1,37,28,35
1,42,26,31
1,38,34,28
0,55,9,36
0,46,14,40
1,48,27,25
1,49,30,22
1,48,33,19
0,56,10,34
1,37,34,29
1,43,29,28
0,57,9,34
0,54,13,33
1,52,25,23
0,55,9,36
0,20,16,65
1,39,33,28
0,57,10,33
0,60,9,31
0,50,10,40
1,32,33,35
0,50,11,39
0,63,4,33
1,33,31,36
0,41,12,47
1,41,24,35
1,41,27,32
0,61,7,32
0,44,13,42
1,30,30,40
1,50,27,23
0,52,11,37
1,40,35,25
1,42,35,23
0,46,14,39
1,28,39,33
1,32,36,32
0,59,9,32
1,43,25,32
0,57,9,33
1,34,26,40
0,55,10,35
1,34,39,28
0,54,11,35
0,58,11,31
0,61,5,34
1,20,32,48
0,48,12,40
0,52,11,37
0,60,6,34
1,47,26,28
0,55,10,35
0,54,9,37
0,47,13,40
0,59,5,36
1,41,40,19
0,53,10,37
0,51,6,43
1,41,32,27
0,56,8,37
0,48,13,39
1,53,26,21
0,49,12,39
1,45,25,29
1,46,27,27
1,28,28,43
1,37,34,28
1,30,31,39
1,38,31,31
0,40,16,43
0,49,9,43
1,41,30,29
1,21,36,43
0,57,10,33
1,42,27,31
0,52,9,39
0,49,12,39
1,44,43,13
0,40,12,48
1,39,31,30
0,53,10,38
1,26,31,43
0,70,2,28
0,24,16,60
1,41,26,33
0,32,13,54
1,40,32,28
0,46,10,44
0,40,13,47
0,54,10,37
0,50,11,39
0,57,10,32
1,29,45,26
0,48,13,39
0,61,7,31
1,52,38,10
0,52,12,37
1,38,36,26
0,45,14,41
0,64,8,28
0,55,12,33
1,49,19,32
1,33,31,36
1,35,26,39
1,46,30,24
1,28,29,44
0,49,12,39
1,33,40,27
0,50,10,40
1,49,31,20
1,43,31,26
1,32,28,40
1,43,34,23
1,48,26,26
0,68,4,28
0,63,6,31
1,42,31,27
0,54,12,34
1,41,40,19
1,26,54,19
1,38,35,27
1,38,26,35
0,50,9,41
0,48,13,39
0,37,13,50
0,45,13,42
1,44,34,21
1,42,40,18
1,31,48,21
0,59,7,34
0,61,9,30
0,43,14,43
0,53,8,39
1,8,38,54
1,45,25,29
1,35,29,36
1,52,25,23
1,40,34,27
1,44,28,28
1,33,34,33
0,55,6,38
0,52,14,35
0,41,15,44
0,44,12,44
1,35,34,31
1,40,37,23
1,34,32,35
0,55,10,35
0,54,12,35
1,31,38,30
1,36,27,37
1,47,27,26
0,49,10,41
1,29,45,26
1,43,27,30
1,36,29,36
0,25,18,57
1,23,46,31
1,44,36,20
0,23,20,57
0,47,13,40
0,40,12,47
0,45,16,39
1,26,42,32
1,41,25,34
1,38,31,31
